name,rank,points,Best result 1,Best result 2,Best result 3,2023-04-22_Enschede_rank,2023-04-22_Enschede_points,2023-04-22_Enschede_points_current,2023-05-27_Groningen_rank,2023-05-27_Groningen_points,2023-05-27_Groningen_points_current,2023-06-17_Amsterdam_rank,2023-06-17_Amsterdam_points,2023-06-17_Amsterdam_points_current,2023-09-02_NK_rank,2023-09-02_NK_points,2023-09-02_NK_points_current,2023-11-26_Enschede_rank,2023-11-26_Enschede_points,2023-11-26_Enschede_points_current,2024-01-20_Amsterdam_rank,2024-01-20_Amsterdam_points,2024-01-20_Amsterdam_points_current,2024-02-11_Groningen_rank,2024-02-11_Groningen_points,2024-02-11_Groningen_points_current,2024-04-06_Enschede_rank,2024-04-06_Enschede_points,2024-04-06_Enschede_points_current,2024-05-04_Groningen_rank,2024-05-04_Groningen_points,2024-05-04_Groningen_points_current,2024-06-01_Amsterdam_rank,2024-06-01_Amsterdam_points,2024-06-01_Amsterdam_points_current,2024-06-29_NK_rank,2024-06-29_NK_points,2024-06-29_NK_points_current
Ewout van den Pol,32,2086,755,672,659,,,,,,,,,,7,944,755,7,824,659,,,,,,,12,672,672,,,,,,,,,
Koen Huits,33,2043,920,660,463,12,300,180,7,708,425,19,435,261,14,531,425,,,,13,463,463,8,920,920,,,,12,660,660,,,,,,
Luca Marrer,34,2016,2016,,,,,,,,,,,,,,,,,,,,,,,,2,2016,2016,,,,,,,,,
Basile Vitrai,35,1996,1100,896,,,,,,,,,,,,,,,,,,,,,,,8,896,896,,,,5,1100,1100,,,
Gauthier Vandamme,36,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1980,1980,,,
Gilles Hublet,36,1980,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1980,1980,,,
Jacob Franssen,38,1966,920,551,495,21,150,90,11,531,319,29,362,217,15,531,425,11,618,494,,,,7,920,920,,,,,,,16,495,495,16,551,551
Linde Van Wambeke,39,1879,880,690,309,,,,,,,,,,,,,,,,24,309,309,9,690,690,,,,7,880,880,,,,,,
Martijn Paes,40,1854,1854,,,,,,,,,,,,,,,,,,2,1854,1854,,,,,,,,,,,,,,,
Joeri Vlassaks,40,1854,1854,,,,,,,,,,,,,,,,,,2,1854,1854,,,,,,,,,,,,,,,
Sam Beard,42,1854,690,660,504,,,,,,,,,,,,,,,,,,,12,690,690,13,504,504,11,660,660,,,,,,
Roos van der Donk,43,1826,672,659,495,29,125,75,,,,,,,,,,8,824,659,,,,,,,11,672,672,14,495,495,,,,,,
Tjebbe Treub,44,1805,735,566,504,26,125,75,12,531,319,15,652,391,10,708,566,,,,,,,,,,14,504,504,,,,15,495,495,12,735,735
Ludwig Branzk,45,1796,735,566,495,,,,,,,,,,11,708,566,,,,,,,,,,,,,,,,14,495,495,9,735,735
Olivier Hui Bon Hoa,46,1760,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1760,1760,,,
Gabriele Brazzo,47,1752,735,522,495,,,,,,,12,870,522,,,,,,,,,,,,,,,,,,,13,495,495,11,735,735
Lars Bouma,48,1729,880,690,159,,,,17,266,159,,,,,,,,,,,,,9,690,690,,,,8,880,880,,,,,,
Niels Kadijk,49,1714,659,551,504,24,150,90,11,531,319,29,362,217,19,354,283,7,824,659,,,,,,,14,504,504,,,,,,,16,551,551
Hugues Maison,50,1694,870,824,,,,,,,,5,1450,870,,,,,,,7,824,824,,,,,,,,,,,,,,,
Baptiste Maison,50,1694,870,824,,,,,,,,5,1450,870,,,,,,,7,824,824,,,,,,,,,,,,,,,
Luc Young,52,1649,660,495,494,,,,18,266,159,,,,19,354,283,12,618,494,,,,,,,,,,9,660,660,16,495,495,,,
Frank Buigel,53,1602,660,517,425,12,300,180,7,708,425,19,435,261,14,531,425,,,,,,,16,517,517,,,,12,660,660,,,,,,
Cedric Omtzigt,54,1591,672,494,425,24,150,90,,,,25,362,217,15,531,425,12,618,494,,,,,,,12,672,672,,,,,,,,,
Tavo Garcia,55,1566,1566,,,,,,,,,2,2610,1566,,,,,,,,,,,,,,,,,,,,,,,,
Oriol Gonzalez,55,1566,1566,,,,,,,,,2,2610,1566,,,,,,,,,,,,,,,,,,,,,,,,
Agnes Berveling,57,1462,504,495,463,,,,,,,36,290,174,,,,,,,16,463,463,,,,16,504,504,16,495,495,,,,,,
Thomas Turner,58,1442,1442,,,,,,,,,,,,,,,,,,4,1442,1442,,,,,,,,,,,,,,,
Jonas Adriaenssens,58,1442,1442,,,,,,,,,,,,,,,,,,4,1442,1442,,,,,,,,,,,,,,,
Ilonka Thielen,60,1438,660,517,261,29,125,75,15,398,239,20,435,261,,,,,,,,,,13,517,517,,,,10,660,660,,,,,,
Jasper Toebes,61,1410,618,531,261,11,300,180,6,885,531,23,435,261,,,,,,,10,618,618,,,,,,,,,,,,,,,
Jessica Borgers,62,1407,1030,217,159,28,125,75,19,266,159,28,362,217,,,,,,,6,1030,1030,,,,,,,,,,,,,,,
Jorge Donayre,63,1392,1392,,,,,,,,,3,2320,1392,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Ohlson,64,1383,920,463,,,,,,,,,,,,,,,,,13,463,463,8,920,920,,,,,,,,,,,,
Lauri Schippers,65,1308,504,495,309,,,,19,266,159,30,362,217,,,,,,,20,309,309,,,,16,504,504,13,495,495,,,,,,
Yorik Maatman,66,1234,690,283,261,,,,13,398,239,17,435,261,17,354,283,,,,,,,10,690,690,,,,,,,,,,,,
Jonas Klimt,67,1230,735,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,495,495,9,735,735
Dirk van der Riet,68,1225,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1225,1225
Lavinia Damaschin,69,1225,880,345,,,,,,,,,,,,,,,,,,,,19,345,345,,,,8,880,880,,,,,,
Maarten Van Beek,70,1219,755,463,,,,,,,,,,,8,944,755,,,,15,463,463,,,,,,,,,,,,,,,
Jannes De Meyer,71,1218,1218,,,,,,,,,4,2030,1218,,,,,,,,,,,,,,,,,,,,,,,,
Tuur Demaegdt,71,1218,1218,,,,,,,,,4,2030,1218,,,,,,,,,,,,,,,,,,,,,,,,
Tim van Caubergh,73,1217,956,261,,,,,2,1593,956,21,435,261,,,,,,,,,,,,,,,,,,,,,,,,
David Teel,74,1211,660,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,660,660,15,551,551
Sander Breman,74,1211,660,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,660,660,15,551,551
Ulysse Couturier,76,1100,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1100,1100,,,
