name,rank,category
Lukas Donovan,1,advanced
Birk Warnecke,1,advanced
Jarec Schouten,2,advanced
Aleksandrs Juška,2,advanced
David Geld,3,advanced
Louis Blum,3,advanced
Patrick de Lange,4,advanced
Thibault Mareschal,4,advanced
Kolja Jannes,5,advanced
Lennart Wiepking,5,advanced
Jeroen Brus,6,advanced
Teo Kukuljan,6,advanced
Mika Mundo,7,advanced
Thomas Roine,7,advanced
Mark de Jong,8,advanced
Stan van Manen,8,advanced
Ward Nieboer,9,advanced
Dario Go,9,advanced
Teelke Limbeck,10,advanced
Gerrit Lang,10,advanced
Rudo Brus,11,advanced
Jasper Toebes,11,advanced
Frank Buigel,12,advanced
Koen Huits,12,advanced
Tim Teunis,13,advanced
Stijn Slebos,13,advanced
Eline Meijer,14,advanced
Maurice Jantjes,14,advanced
Micha Daling,15,advanced
Milan Sent,15,advanced
Lauma Ernestsone,16,advanced
Solange Schrijnder van Velzen,16,advanced
Dirk van de Riet,17,advanced
Daniel Peereboom,17,advanced
Alex Sikotorski,18,advanced
Jacques P,18,advanced
Joel Cetra,19,advanced
Benita Hansen,19,advanced
Yuan Tjiam,20,advanced
Milan Battistella,20,advanced
Joep Blanksma,21,advanced
Jacob Franssen,21,advanced
Nick Delventhal,22,advanced
Ben Andres,22,advanced
Mady Smit,23,advanced
Stijn Bakker,23,advanced
Niels Kadijk,24,advanced
Cedric Omtzigt,24,advanced
arno waszink,25,advanced
Said Lachhab,25,advanced
Tjebbe Treub,26,advanced
Thomas van Geest,26,advanced
Shannon Dieltjes,27,advanced
Shauny Dieltjes,27,advanced
Jannah Sonnenschein,28,advanced
Jessica Borgers,28,advanced
Ilonka Thielen,29,advanced
Roos van der Donk,29,advanced
Jan Derksen,30,advanced
Lauritz Dauer,30,advanced
Wouter van der Heijden,31,advanced
Berend Poos,31,advanced
Maximilian Knoll,32,advanced
Peter Sesler,32,advanced
Konstantin Dimov,33,advanced
David van Beijnhem,33,advanced
Thieri Balk,34,advanced
Anneke Poelen,34,advanced
Joep Schotsman,35,advanced
Luuk Schotsman,35,advanced
